product,review,sentiment
Wireless Earbuds,The sound is crystal clear and the battery lasts all day,positive
Wireless Earbuds,Comfortable fit and excellent noise cancellation,positive
Wireless Earbuds,The left earbud stopped charging after a week,negative
Wireless Earbuds,Bluetooth disconnects constantly during calls,negative
Wireless Earbuds,The earbuds are okay for the price,neutral
Wireless Earbuds,Average microphone quality but decent music playback,neutral
Smart Watch,The display is bright and fitness tracking is accurate,positive
Smart Watch,Love the sleek design and quick charging,positive
Smart Watch,The watch freezes whenever I start a workout,negative
Smart Watch,Battery drains before the end of the day,negative
Smart Watch,It has the features described on the box,neutral
Smart Watch,Setup took a little time but it works fine,neutral
Coffee Maker,Coffee tastes great and the machine is easy to clean,positive
Coffee Maker,Fast brewing and a beautiful compact design,positive
Coffee Maker,Water leaks from the bottom every morning,negative
Coffee Maker,The heating plate stopped working after two uses,negative
Coffee Maker,It makes a standard cup of coffee,neutral
Coffee Maker,The included instructions are basic,neutral
Robot Vacuum,It picks up pet hair better than expected,positive
Robot Vacuum,Navigation is smart and the app is simple to use,positive
Robot Vacuum,It gets stuck under furniture every single run,negative
Robot Vacuum,The dust bin is too small for a large home,negative
Robot Vacuum,The vacuum is quieter than my old one,neutral
Robot Vacuum,Mapping the house took some time,neutral
Phone Charger,Charges my phone very quickly and feels durable,positive
Phone Charger,The cable is sturdy and the adapter stays cool,positive
Phone Charger,It overheats and stopped charging my tablet,negative
Phone Charger,The cable frayed near the connector within days,negative
Phone Charger,The charger works as expected,neutral
Phone Charger,Length is fine but the plug is slightly bulky,neutral
Desk Lamp,The adjustable brightness is perfect for reading,positive
Desk Lamp,Looks premium and the touch controls respond instantly,positive
Desk Lamp,The light flickers after ten minutes,negative
Desk Lamp,The base is unstable and keeps tipping over,negative
Desk Lamp,The lamp is smaller than I imagined,neutral
Desk Lamp,Its warm light is pleasant for evening work,neutral
